timestep;aFRR_neg_cap_EUR_MW_h
1639800;2.49
1640700;2.49
1641600;6.26
1642500;6.26
1643400;6.26
1644300;6.26
1645200;6.26
1646100;6.26
1647000;6.26
1647900;6.26
1648800;6.26
1649700;6.26
1650600;6.26
1651500;6.26
1652400;6.26
1653300;6.26
1654200;6.26
1655100;6.26
1656000;5.07
1656900;5.07
1657800;5.07
1658700;5.07
1659600;5.07
1660500;5.07
1661400;5.07
1662300;5.07
1663200;5.07
1664100;5.07
1665000;5.07
1665900;5.07
1666800;5.07
1667700;5.07
1668600;5.07
1669500;5.07
1670400;2.98
1671300;2.98
1672200;2.98
1673100;2.98
1674000;2.98
1674900;2.98
1675800;2.98
1676700;2.98
1677600;2.98
1678500;2.98
1679400;2.98
1680300;2.98
1681200;2.98
1682100;2.98
1683000;2.98
