timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
549000;51,8466578;66,34728047;35,38521625
549900;51,12974852;71,0006497;37,86701317
550800;50,64022826;74,32434914;39,63965288
551700;52,44401605;68,29897251;36,42611867
552600;66,89225967;94,71976966;50,51721049
553500;71,21560786;91,92828183;49,02841698
554400;79,33007092;100,4953895;53,59754104
555300;84,98999358;108,3228275;57,77217469
556200;87,49457443;101,9727162;54,38544865
557100;51,62743184;74,0427463;39,48946469
558000;46,63186085;57,64344953;30,74317308
558900;52,77337708;67,36827733;35,92974791
559800;39,45639862;59,43514439;31,69874367
560700;66,55432252;84,63223938;45,13719433
561600;55,53004219;71,59589417;38,18447689
562500;57,45766541;71,70796249;38,24424666
563400;38,49302081;51,56333799;27,50044693
564300;37,21800514;48,54455958;25,89043178
565200;39,60641992;57,28075435;30,54973566
566100;37,77589061;55,92756685;29,82803565
567000;48,90872606;67,31827807;35,90308164
567900;47,94610051;68,83891327;36,71408707
568800;44,71786346;58,97860329;31,45525509
569700;44,60254156;60,83077488;32,44307994
570600;52,51714358;69,35994064;36,99196834
571500;48,3780078;64,65824355;34,48439656
572400;42,07161756;64,70990347;34,51194852
573300;54,56253608;66,7314207;35,59009104
574200;52,0843646;67,27427449;35,87961306
575100;48,68175921;67,89687256;36,21166537
576000;66,92888023;81,99578753;43,73108668
576900;57,99948461;73,95797412;39,44425286
577800;56,08895179;73,50941864;39,20502327
578700;43,16327066;56,17739638;29,96127807
579600;35,06606794;52,87167499;28,19822666
580500;29,10671747;47,30962055;25,23179762
581400;40,69457453;56,70751333;30,24400711
