timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed;val_beam_irr_in_plane
3456000;-1.9;0;0;0;0;213;0.6;0.0
3459600;-2.2;0;0;0;0;213;0.9;0.0
3463200;-2.8;0;0;0;0;214;1.4;0.0
3466800;-3.3;0;0;0;0;214;2.1;0.0
3470400;-3.1;0;0;0;0;218;1.5;0.0
3474000;-2.8;0;0;0;0;217;1.5;0.0
3477600;-3.4;0;0;0;0;217;1.7;0.0
3481200;-2.9;0;0;0;0;228;1.4;0.0
3484800;-2.5;388.885;40;59;99;244;1.3;197.0
3488400;0;303.685;77;118;195;251;1.6;234.1
3492000;1.3;211.291;77;176;253;256;1.5;216.3
3495600;2.5;4.589;2;144;146;274;1.7;13.5
3499200;4.7;66.819;31;213;244;290;1.7;105.3
3502800;5.2;89.48;40;207;247;289;2.9;123.2
3506400;5;12.949;5;134;139;288;2.1;20.1
3510000;5.5;0;0;59;59;296;2.6;0.5
3513600;5.3;0;0;21;21;304;2.4;0.2
3517200;5.7;0;0;3;3;306;3.5;0.0
3520800;5.7;0;0;0;0;301;3.7;0.0
3524400;5.8;0;0;0;0;302;3.3;0.0
3528000;5.3;0;0;0;0;311;3;0.0
3531600;4.4;0;0;0;0;303;4.1;0.0
3535200;5.2;0;0;0;0;304;5.2;0.0
3538800;5.6;0;0;0;0;305;4.4;0.0
3542400;5.9;0;0;0;0;298;4.1;0.0
3546000;5.9;0;0;0;0;307;4.1;0.0
3549600;5.9;0;0;0;0;315;5.7;0.0
3553200;5.9;0;0;0;0;316;4.8;0.0
3556800;5.9;0;0;0;0;317;4.4;0.0
3560400;5.6;0;0;0;0;317;3.6;0.0
3564000;5.6;0;0;0;0;318;4.3;0.0
3567600;5.3;0;0;0;0;312;3;0.0
3571200;5.4;0;0;10;10;307;4.5;0.1
3574800;5.8;50.359;13;119;132;307;4.6;55.9
3578400;6.2;2.709;1;114;115;309;4.2;7.9
3582000;6.5;0;0;91;91;317;5.4;0.4
3585600;5.5;0;0;86;86;324;6.5;0.6
3589200;4.7;0;0;76;76;323;4.2;0.5
3592800;4.9;0;0;64;64;324;4.1;0.4
3596400;4.8;0;0;40;40;325;4.1;0.2
3600000;4.8;0;0;26;26;320;4.2;0.2
3603600;4.6;0;0;4;4;316;4.1;0.0
3607200;4.8;0;0;0;0;322;3.5;0.0
3610800;4.7;0;0;0;0;328;3.5;0.0
3614400;4.9;0;0;0;0;329;3.9;0.0
3618000;5.4;0;0;0;0;330;4.6;0.0
3621600;5.7;0;0;0;0;333;4.7;0.0
3625200;5.8;0;0;0;0;334;3.6;0.0
3628800;5.6;0;0;0;0;334;3.8;0.0
3632400;5.8;0;0;0;0;335;2.8;0.0
3636000;5.8;0;0;0;0;335;2.5;0.0
3639600;6.2;0;0;0;0;337;3.3;0.0
3643200;6.4;0;0;0;0;337;3.5;0.0
3646800;6.6;0;0;0;0;339;2.9;0.0
3650400;7.2;0;0;0;0;340;5.1;0.0
3654000;7.3;0;0;0;0;341;6;0.0
3657600;7.5;70.811;8;56;64;331;6.5;50.4
3661200;7.9;152.196;40;140;180;303;5.2;138.8
3664800;8.6;56.16;21;177;198;281;7;79.6
3668400;9.3;4.489;2;143;145;290;7.8;12.0
3672000;10.6;2.111;1;142;143;315;8.3;8.8
3675600;11;0;0;67;67;341;8.7;0.2
3679200;10.4;0;0;53;53;342;9.7;0.2
3682800;9.5;0;0;45;45;341;8.2;0.1
3686400;8.7;0;0;33;33;344;8.7;0.1
3690000;8.2;0;0;4;4;343;8.9;0.0
3693600;8.1;0;0;0;0;342;9.8;0.0
3697200;8.7;0;0;0;0;343;10.7;0.0
3700800;8.5;0;0;0;0;337;10;0.0
3704400;8.6;0;0;0;0;336;8.4;0.0
3708000;5.3;0;0;0;0;334;5.9;0.0
3711600;5.7;0;0;0;0;323;5;0.0
3715200;6.1;0;0;0;0;305;6.5;0.0
3718800;6;0;0;0;0;275;7.6;0.0
3722400;5.4;0;0;0;0;272;7.4;0.0
3726000;2.8;0;0;0;0;290;4.5;0.0
3729600;2.8;0;0;0;0;301;6.4;0.0
3733200;3.1;0;0;0;0;299;7.1;0.0
3736800;2.6;0;0;0;0;281;5.9;0.0
3740400;3;0;0;1;1;275;5.7;0.0
3744000;3.5;186.303;22;54;76;284;5.3;102.5
3747600;2.7;56.06;15;112;127;293;6.1;53.9
3751200;2.2;15.84;6;138;144;289;5.5;22.2
3754800;4.1;539.375;243;174;417;262;6.5;554.9
3758400;4.9;453.215;217;199;416;259;6.7;506.1
3762000;1.7;6.495;3;151;154;281;6.6;14.5
3765600;0.9;0;0;95;95;269;4.3;-0.4
3769200;0.5;10.026;3;96;99;258;3.5;11.2
3772800;1;6.232;1;47;48;272;4.4;3.5
3776400;0.9;0;0;4;4;282;2.9;0.0
3780000;0.5;0;0;0;0;275;2;0.0
3783600;0.5;0;0;0;0;267;2;0.0
3787200;0.4;0;0;0;0;253;2.4;0.0
3790800;0.4;0;0;0;0;246;3.1;0.0
3794400;0.3;0;0;0;0;255;2.6;0.0
3798000;0.2;0;0;0;0;244;3.5;0.0
3801600;0.2;0;0;0;0;245;3.4;0.0
3805200;-0.3;0;0;0;0;258;3.8;0.0
3808800;-0.2;0;0;0;0;264;4.2;0.0
3812400;-0.4;0;0;0;0;270;3.6;0.0
3816000;-0.4;0;0;0;0;275;4.9;0.0
3819600;-0.5;0;0;0;0;281;4.8;0.0
3823200;-0.8;0;0;0;0;267;3.7;0.0
3826800;-1;0;0;7;7;255;3.2;0.0
3830400;-0.5;89.258;11;51;62;266;2.3;52.1
3834000;-0.1;69.752;19;107;126;265;2.9;59.5
3837600;-0.3;26.061;10;139;149;253;3.1;39.3
3841200;0.6;26.343;12;167;179;249;3.9;47.2
3844800;0.8;6.2;3;153;156;256;4.4;13.6
3848400;2.5;164.904;77;190;267;265;3.5;195.8
3852000;1.5;241.478;98;155;253;247;4.5;248.0
3855600;2.5;253.219;77;105;182;230;3.9;204.0
3859200;2.4;786.015;130;40;170;232;3.9;395.2
3862800;1;179.617;10;12;22;240;4.2;54.5
3866400;0.2;0;0;0;0;243;4;0.0
3870000;0.2;0;0;0;0;237;3.7;0.0
3873600;0.2;0;0;0;0;243;4.4;0.0
3877200;-0.2;0;0;0;0;264;4.8;0.0
3880800;0;0;0;0;0;274;4;0.0
3884400;-0.4;0;0;0;0;274;4.9;0.0
3888000;-0.2;0;0;0;0;273;4.5;0.0
3891600;-0.2;0;0;0;0;273;3.9;0.0
3895200;-0.3;0;0;0;0;273;3;0.0
3898800;-0.3;0;0;0;0;272;0.8;0.0
3902400;-0.2;0;0;0;0;265;3.1;0.0
3906000;-0.4;0;0;0;0;264;2.7;0.0
3909600;-0.5;0;0;0;0;253;2.4;0.0
